1225;The Gorillas
1229;Tidal Shift
1241;THEORY6
1247;Blood, Sweat, and Gears
1250;Gator-Bots
1255;Blarglefish
1257;Parallel Universe
1259;Paradigm Shift
1261;Robo Lions Team1261
1262;the STAGS
1277;The Robotomies
1279;Cold Fusion
1280;Ragin' C-Biscuits
1287;Aluminum Assault
1288;RAVEN Robotics
1293;Pandamaniacs
1294;Pack of Parts
1296;Full Metal Jackets
1303;WYOHAZARD
1305;Ice Cubed
1306;BadgerBOTS
1307;Robosaints
1308;Wildcat Robotics
1310;Runnymede Robotics
1317;Digital Fusion
1318;Issaquah Robotics Society
1319;Flash
1322;GRAYT Leviathons (Genesee Robotics Area Youth Team)
1323;MadTown Robotics
1325;Inverse Paradox
1329;The ViPrs
1334;OT Devils
1339;Angelbotics
1350;The Rambots
1351;TKO
1359;Scalawags
1360;Orbit Robotics
1369;Minotaur
1388;Eagle Robotics
1389;The Body Electric
1391;The Metal Moose
1403;Team 1403 Cougar Robotics
1405;Finney Falcons
1410;The Kraken
1414;IHOT
1418;Vae Victis
1421;Team CHAOS
1425;Error Code Xero
1445;Webb Spark
1446;Robo Knights
1450;XQ Robotix Team 1450
1452;Omnicats
1458;Red Tie Robotics
1466;Webb Robotics
1468;Hicksville J-Birds
1474;Titans
1477;Texas Torque
1481;The Riveters
1493;Falcons
1498;The Polar Pilots
1501;Team THRUST
1502;Technical Difficulties
1504;Desperate Penguins
1506;Metal Muscle
1507;Warlocks
1511;Rolling Thunder
1512;The Big Red
1515;MorTorq
1518;Raider Robotics
1522;DOTM - Defenders of the Multiverse
1523;MARS (Mega Awesome Robotic Systems)
1528;MTR (Monroe Trojan Robotics)
1533;Triple Strange
1538;The Holy Cows
1540;Flaming Chickens
1546;Chaos, Inc.
1554;Oceanside Kraken
1555;CryoFrost
1557;12 Volt Bolt
1559;Devil Tech
1561;Roboducks
1566;AMMOKNIGHTS
1569;Haywire Robotics
1574;MisCar
1576;Voltrix
1577;Steampunk
1580;The Blue Monkeys
1585;Scitobor Robotics
1591;Greece Gladiators
1592;Bionic Tigers
1595;The Dragons
1596;The Instigators
1599;CircuiTree
1601;Quantum Samurai
1619;Up-A-Creek Robotics
1622;Team Spyder
1625;Winnovation
1626;Falcon Robotics
1629;Garrett Coalition (GaCo)
1635;TECHNOTICS
1640;Sab-BOT-age
1646;Precision Guessworks
1647;Iron Devils
1648;G3 Robotics
1661;Griffitrons
1671;Buchanan Bird Brains
1672;Robo T-Birds
1675;UPS (Ultimate Protection Squad)
1676;The Pascack PI-oneers
1678;Citrus Circuits
1683;Techno Titans
1684;The Chimeras
1690;Orbit
1699;Robocats
1700;Gatorbotics
1701;Robocubs
1706;Ratchet Rockers
1708;AMP'D Robotics
1710;The Ravonics Revolution
1711;RAPTORS
1712;Dawgma
1714;MORE Robotics
1716;Redbird Robotics
1718;The Fighting Pi
1719;The Umbrella Corporation
1720;PhyXTGears
1721;Tidal Force
1723;The FBI - FIRST Bots of Independence
1726;N.E.R.D.S. (Nifty Engineering Robotics Design Squad)
1727;REX
1729;Team Inconceivable!
1730;Team Driven
1731;Fresta Valley Robotics Club
1732;Hilltopper Robotics
1735;Green Reapers
1736;Robot Casserole
1739;Chicago Knights Robotics
1740;Cyber Colonels
1741;Red Alert
1744;Robo-Rays Robotics
1745;The P-51 Mustangs
1746;Team OTTO
1747;Harrison Boiler Robotics
1756;Argos
1757;Wolverines
1758;Technomancers
1759;Potatoes
1761;STEAMpunk Tigers
1763;Pas\u00e9liens
1764;Liberty Robotics
1768;Nashoba Robotics
1769;Digital Hawks
1771;North Gwinnett Robotics
1772;The Brazilian Trail Blazers
1775;Tigerbytes
1778;Chill Out
1781;Lindblom Electric Eagles
1785;Blue Springs Robocats
1787;The Flying Circuits
1792;Round Table Robotics
1793;The Aviators
1795;Carver Clutch
1796;RoboTigers
1799;Wired-Up!
1802;Team Stealth
1803;Vikings
1806;S.W.A.T.
1807;Redbird Robotics
1810;CATATRONICS
1811;FRESH
1816;\"The Green Machine\"
1818;Team Talos
1819;The Quacken
1822;Electric Calamari
1825;The Cyborgs
1827;THE HIVE
1828;BoxerBots
1832;Duck Tape
1833;Team BEAN
1836;The MilkenKnights
1847;WRATH
1854;The Chomp Bots
1857;Citrus Sparks
1860;Alphabots
1868;Space Cookies
1880;Warriors of East Harlem
1884;Griffins
1885;Comet Robotics
1891;Bullbots
1895;Lambda Corps
1899;Saints Robotics
1902;Exploding Bacon
1908;ShoreBots
1912;Team Combustion
1915;Firebird Robotics
1918;Newaygo County GEARS
1922;Oz-Ram
1923;The MidKnight Inventors
1927;Tempest
1937;Elysium
1939;THE KUHNIGHTS
1940;Tech Tigers 1940
1942;Cinderella Tel-Nof
1943;Neat Team
1954;ElectroBunny
1967;The Janksters
1972;Searing Engineering
1977;The PowerSquids
1982;Cougar Robotics
1983;Skunk Works Robotics
1986;Team Titanium
1987;Broncobots
1991;The Dragons
1994;Quixote
1997;STAGROBOTICS
2001;HERMES
2010;The Lightning Bots
2013;Cybergnomes
2016;Mighty Monkey Wrenches
2022;Titan Robotics
2027;Robotic Dragons
2028;Phantom Robotics
2035;The Rockin' Bots
2036;Boulder Valley Black Knights
2039;Rockford Robotics
2040;DERT - Dunlap Eagles Robotics Team
2046;Bear Metal
2048;The Pink Panthers
2052;KnightKrawler
2053;Southern Tier Robotics
